Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[maha] t_eval=4.5 d_model=1024 feat_dim=1024 shrinkage=0.1 fit_pos=80000
[maha] positive D^2: per-pos mean=222.225 seq-max mean=475.907

    scheme  rate  AUROC_max  AUROC_mean  tokloc_AUROC
   replace  0.10     0.4308      0.3578        0.5663
   replace  0.30     0.2807      0.1745        0.5513
   replace  0.50     0.2299      0.2043        0.5521
   replace  0.70     0.1902      0.3270        0.5470
   replace  1.00     0.2256      0.6913           nan
   shuffle  0.10     0.3978      0.3779        0.5256
   shuffle  0.30     0.3308      0.2293        0.5198
   shuffle  0.50     0.2458      0.1533        0.5171
   shuffle  0.70     0.2039      0.1422        0.5161
   shuffle  1.00     0.2179      0.1355        0.5446
      both  0.10     0.3622      0.2912        0.5434
      both  0.30     0.2244      0.1465        0.5394
      both  0.50     0.1840      0.1902        0.5373
      both  0.70     0.1850      0.3135        0.5439
      both  1.00     0.2321      0.7041        0.5386

Wrote runs/ood_maha_perpos_dirichletfm/bigger_ep30_d30k_pca0/maha_perpos_sweep.json
