Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[maha] t_eval=4.5 d_model=1024 feat_dim=1024 shrinkage=0.1 fit_pos=80000
[maha] positive D^2: per-pos mean=226.664 seq-max mean=454.931

    scheme  rate  AUROC_max  AUROC_mean  tokloc_AUROC
   replace  0.10     0.4492      0.4739        0.7359
   replace  0.30     0.3954      0.7289        0.7018
   replace  0.50     0.4807      0.9487        0.6760
   replace  0.70     0.6562      0.9865        0.6529
   replace  1.00     0.9023      0.9963           nan
   shuffle  0.10     0.4662      0.4609        0.6471
   shuffle  0.30     0.3814      0.5650        0.6039
   shuffle  0.50     0.3504      0.7198        0.5706
   shuffle  0.70     0.3376      0.8090        0.5474
   shuffle  1.00     0.3391      0.8683        0.5651
      both  0.10     0.4020      0.4939        0.6769
      both  0.30     0.3353      0.8354        0.6345
      both  0.50     0.4831      0.9660        0.6208
      both  0.70     0.6805      0.9878        0.6267
      both  1.00     0.9031      0.9965        0.6366

Wrote runs/ood_maha_perpos_dirichletfm_det/bigger_ep30_d30k_pca0/maha_perpos_sweep.json
