Common-grid transport recovery, all nine benchmark arms (2026-08-21/22).
Merged from recovery.json + recovery_matched.json + recovery_grid.json per arm;
identical protocol throughout (n=256, steps=200, seed=42, per-alpha seed=seed+int(alpha*1000),
val windows = val_ids[:256]). SFLM from epoch_10.pt (see SFLM/PROVENANCE.md);
EqMAE via the reconstructed VAE encoder (see ../vae_a100_20g_L256/RECONSTRUCTED.md).

arm            Δ@pt=.75  Δ@pt=.50  Δ@pt=.30   full (alpha: pt, delta)
FMonCLR         +0.0289   +0.0427   +0.0272   0.10:1.00,+0.000 0.20:1.00,-0.000 0.30:0.90,+0.011 0.40:0.70,+0.035 0.50:0.52,+0.044 0.60:0.40,+0.037 0.70:0.32,+0.030 0.80:0.27,+0.023 0.90:0.23,+0.018 1.00:0.19,+0.015
SFM             +0.0200   +0.0814   +0.1165   0.10:1.00,+0.000 0.20:1.00,-0.001 0.30:1.00,-0.004 0.40:1.00,-0.008 0.50:1.00,-0.018 0.60:0.94,-0.030 0.70:0.63,+0.050 0.72:0.55,+0.070 0.76:0.40,+0.104 0.80:0.26,+0.121 0.85:0.15,+0.115 0.90:0.08,+0.095 1.00:0.04,+0.031
FisherFM        +0.0484   +0.1007   +0.1109   0.10:1.00,+0.000 0.20:1.00,+0.000 0.30:1.00,+0.000 0.40:1.00,+0.000 0.50:1.00,-0.000 0.60:1.00,-0.001 0.70:0.96,-0.000 0.75:0.81,+0.035 0.80:0.52,+0.100 0.85:0.29,+0.111 0.90:0.15,+0.085 0.95:0.08,+0.062 1.00:0.04,+0.036
SFLM            +0.0473   +0.0666   +0.0585   0.10:1.00,+0.000 0.20:0.99,+0.005 0.30:0.85,+0.036 0.40:0.65,+0.060 0.50:0.49,+0.067 0.60:0.39,+0.066 0.70:0.32,+0.060 0.80:0.27,+0.057 0.90:0.23,+0.052 1.00:0.21,+0.048
DFM             +0.0013   +0.0097   +0.0222   0.10:0.90,-0.000 0.20:0.81,+0.000 0.30:0.71,+0.002 0.40:0.62,+0.005 0.50:0.52,+0.009 0.60:0.42,+0.012 0.70:0.33,+0.018 0.80:0.23,+0.034 0.90:0.13,+0.063 1.00:0.04,+0.133
DirichletFM     +0.0568   +0.0979   +0.0997   0.10:0.89,+0.014 0.20:0.84,+0.032 0.30:0.77,+0.051 0.40:0.68,+0.073 0.50:0.58,+0.090 0.60:0.46,+0.102 0.70:0.33,+0.101 0.80:0.21,+0.094 0.90:0.10,+0.068 1.00:0.04,+0.035
EqM             -0.0018   +0.0036   +0.0000   0.10:1.00,-0.002 0.20:1.00,-0.004 0.30:0.90,-0.008 0.40:0.70,+0.001 0.50:0.52,+0.004 0.60:0.40,+0.000 0.70:0.32,+0.000 0.80:0.27,+0.000 0.90:0.23,+0.000 1.00:0.19,+0.005
EqM_OneHot      +0.0000   +0.0000   +0.0000   0.10:1.00,+0.000 0.20:1.00,-0.000 0.30:0.90,+0.000 0.40:0.70,+0.000 0.50:0.52,+0.000 0.60:0.40,+0.000 0.70:0.32,+0.000 0.80:0.27,+0.000 0.90:0.23,+0.000 1.00:0.19,+0.000
EqMAE           -0.0104   -0.0065   +0.0006   0.10:1.00,+0.000 0.20:0.99,+0.000 0.30:0.89,-0.007 0.40:0.71,-0.011 0.50:0.55,-0.009 0.60:0.44,-0.004 0.70:0.35,-0.001 0.80:0.29,+0.001 0.90:0.25,+0.002 1.00:0.22,+0.002
